code,company,yutai_simple,yutai,month_before,month_rear,money,share_unit
1301,極洋,缶詰,"権利確定月：３月
◎自社製品
＜2017年3月期の優待＞
　・100株 … 5,000円相当

＜2018年3月期以降の優待＞
　・100株 … 2,500円相当
　・300株 … 6,000円相当",3,0,5000,100
1332,日本水産,自社品,"権利確定月：３月
◎自社商品
　・500株 … 3,000円相当
　・1,000株 … 5,000円相当",3,0,3000,500
1333,マルハニチロ,自社品,"権利確定月：3月
◎自社で取り扱っている商品・サービス
　・1,000株 … 自社で取り扱っている商品・サービスの無償提供または優待割引",3,0,0,100
1352,ホウスイ,0,0,0,0,0,1000
1376,カネコ種苗,0,0,0,0,0,100
1377,サカタのタネ,ｷﾞﾌﾄ券（花）,"権利確定月：5月
◎「サカタ友の会」１年間、年会費（2600円）無料
◎所有株数に応じた全国共通「花とみどりのギフト券」
 　・100株 … 500円分
 　・500株 … 1000円分
 　・1000株 … 2000円分",5,0,500,100
1379,ホクト,きのこ,"権利確定月：３月
◎以下より1点選択
　（1）きのこ・レトルトセット（きのこ数種類、レトルトカレー等詰合せ）
　（2）レトルトセット（レトルトカレー、炊き込みご飯の素等詰合せ）
　（3）健康セット（アガリクスドリンク等詰合せ）

　・100株以上 … （1）、（2）、（3）より1つ選択",3,0,0,100
1380,秋川牧園,肉,"権利確定月：３月
◎自社製品
　・500株 … 1,500円相当
　・1,000株 … 3,500円相当

※2018年3月以降は、優待をもらうには500株保有する必要があります",3,0,1500,500
1381,アクシーズ,肉,"権利確定月：6月
◎株主優待限定セレクション
　・500株 … 「薩摩ハーブ悠然どり」を使用したチキン加工食品",6,0,0,500
1382,ホーブ,0,0,0,0,0,100
1383,ベルグアース,QUO,"権利確定月：4月
◎どちらかを選択
・100株 … （１）クオカード（1,000円相当）
               （２）茨城県産メロン（3,000円相当）",4,0,1000,100
1384,ホクリヨウ,たまご券,"権利確定月：8月
◎たまごギフト券
 　・100株 … 500円相当
 　・1,000株 … 2,000円相当 ",0,8,500,100
1400,ルーデン・ホールディングス,0,0,0,0,0,100
1401,エムビーエス,0,0,0,0,0,100
1407,ウエストホールディングス,0,0,0,0,0,100
1408,サムシングホールディングス,米券,"権利確定月：12月
◎お米券（全国共通）
 　・100株 … 2kg相当
 　・500株 … 5kg相当",0,12,0,100
1413,桧家ホールディングス,0,0,0,0,0,100
1414,ショーボンドホールディングス,0,0,0,0,0,100
1417,ミライト・ホールディングス,QUO,"権利確定月：3月
◎クオカードまたは社会活動団体への寄付
 　［株式継続保有期間1年以上］
・100株 … 1,000円分
・1,000株 … 2,000円分

　［株式継続保有期間3年以上］
・100株 … 1,000円分
・1,000株 … 3,000円分",3,0,1000,100
1418,インターライフホールディングス,QUO,"権利確定月：2月
◎クオカード
（2016年2月の優待内容）
 　・1,000株 … 1,000円相当
 　・10,000株 …5,000円相当

 （2017年2月の贈呈基準・優待内容）
 ［2016年8月末及び2017年2月末の株主名簿に記載されている株主］
 　・1,000株 … 1,000円相当
 　・10,000株 …5,000円相当

 （2018年2月以降の贈呈基準・優待内容）
 ［継続保有1年以上］
 　・1,000株 … 1,000円相当
 　・10,000株 …5,000円相当",2,0,1000,1000
1419,タマホーム,QUO,"権利確定月：5,11月
◎以下の（1）～（3）の中から選択（×年2回）
 　（1）クオカード
　・100株 … 500円分
 　（2）請負金額割引券
 　・100株 … 1％
 　・1,000株 … 2％
 　・1万株 … 3％
 　（3）「緑の募金」に対する寄付
※（1）保有期間3年以上になると＋500円分がもらえます。
※（2）保有期間3年以上になると【100株 ： 2％、1,000株 ： 4％、1万株 ： 6％】割引になります",5,11,1000,100
1420,サンヨーホームズ,割引,"権利確定月：3月
◎ハウスクリーニング、リフォームの割引など
　　・500株 … 以下の優待から1つ選択
 　（1）ハウスクリーニング、家事サポートなどのサービスの3,000円割引
 　（2）リフォーム工事100万円以上の契約で3万円割引
 　（3）3,000円相当の選べる防災グッズ",3,0,3000,100
1429,日本アクア,0,0,0,0,0,100
1430,ファーストコーポレーション,QUO,"権利確定月：11月
◎クオカード
　・100株 … 1,000円相当
 　・10,000株 … 2,000円相当",0,11,1000,100
1431,エスケーホーム,QUO,"権利確定月：６月
◎QUOカード（クオカード） 　・100株 … 1,000円相当

◎投資用アパート建物本体価格割引券 　・1,000株 … 1％ 　・5,000株 … 2％ 　・10,000株 … 3％",6,0,1000,100
1433,ベステラ,QUO,"権利確定月：１月
◎クオカード
　・100株 … 1,000円相当
　・300株 … 2,000円相当",1,0,1000,100
1434,JESCOホールディングス,0,0,0,0,0,100
1435,インベスターズクラウド,QUO,"権利確定月：12月
◎クオカード
　・100株 … 3,000円相当",0,12,3000,100
1436,フィット,0,0,0,0,0,100
1438,岐阜造園,0,0,0,0,0,100
1439,安江工務店,0,0,0,0,0,100
1491,中外鉱業,0,0,0,0,0,100
1514,住石ホールディングス,0,0,0,0,0,100
1515,日鉄鉱業,水,"権利確定月：3月
◎仙人秘水（ナチュラルミネラルウォーター）
 　・1000株 … 1箱（1リットル×12本入り）
 　・5000株 … 2箱
 　・1万株 … 5箱",3,0,0,1000
1518,三井松島産業,宿泊割引券,"権利確定月：3月
◎宿泊割引券(1枚＝3,000円相当） 　・100株 … 2枚（6,000円相当） 　・1,000株 … 4枚（12,000円相当） 　・3,000株 … 6枚（18,000円相当）
【継続保有期間3年以上】 　◎花菱縫製株式会社商品券 　・1,000株 … 1枚（5,000円相当）  ※「里山の休日 京都・烟河」、「里創人 熊野倶楽部」、「ホテル風か」、「アピカルイン京都」、「ホテル京都エミナース」、「汐岬の湯 サンペルラ志摩」、「ちりはま ホテルゆ華」、「ホテルうみんぴあ」で使用できます。 ※有効期限は1年間となります",3,0,6000,100
1605,国際石油開発帝石,0,0,0,0,0,100
1606,日本海洋掘削,0,0,0,0,0,100
1662,石油資源開発,0,0,0,0,0,100
1663,K＆Oエナジーグループ,0,0,0,0,0,100
1711,省電舎ホールディングス,0,0,0,0,0,100
1712,ダイセキ環境ソリューション,0,0,0,0,0,100
1716,第一カッター興業,0,0,0,0,0,100
1717,明豊ファシリティワークス,0,0,0,0,0,100
1718,美樹工業,野菜,"権利確定月：12月
◎株式会社サラダコスモの製品（×年2回）
 　・1,000株 … ブロッコリーの新芽、赤ラディッシュの新芽、チコリ等",0,12,0,1000
1719,安藤・間,0,0,0,0,0,100
1720,東急建設,0,0,0,0,0,100
1721,コムシスホールディングス,0,0,0,0,0,100
1722,ミサワホーム,工事割引,"権利確定月：権利確定月：３、９月
◎自社グループで使える優待 （×年2回）
　・100株 … 住宅価格の割引・リフォーム代金の割引

※住宅価格の1～3％割引、リフォーム代金の3％割引が受けられます。詳しい条件などはミサワホームの公式サイトでご確認下さい。


＜2017年9月期・2018年3月期限定の記念優待＞
・100株 … 住宅価格の割引・リフォーム代金の割引

※住宅の購入時やリフォーム時の割引率に1％プラスされます。
※2017年9月末と2018年3月末のみ実施されます",3,9,0,100
1723,日本電技,0,0,0,0,0,100
1724,シンクレイヤ,0,0,0,0,0,100
1726,ビーアールホールディングス,QUO,"権利確定月：3,9月
◎クオカード（×年2回）
 　・100株 … 500円相当
 　・1,000株 … 2,000円相当
 　・10,000株 … 3,000円相当",3,9,1000,100
1728,ミサワホーム中国,0,0,0,0,0,1000
1730,麻生フオームクリート,0,0,0,0,0,1000
1734,北弘電社,QUO,"権利確定月：３月
＜2018年3月以降の優待内容:株式併合後＞
◎QUOカード（クオカード）
　・100株 … 3,000円相当
　・500株 … 5,000円相当
　・1,000株 … 10,000円相当",3,0,3000,1000
1736,オーテック,0,0,0,0,0,100
1737,三井金属エンジニアリング,0,0,0,0,0,1000
1738,NITTOH,米･ｶﾚﾝﾀﾞｰ,"権利確定月：3,9月
◎1000株以上
 　・3月末 … 全国共通お米ギフト券（5kg）
 　・9月末 … オリジナルカレンダー",3,9,0,1000
1739,シード平和,0,0,0,0,0,100
1743,コーアツ工業,0,0,0,0,0,1000
1757,クレアホールディングス,0,0,0,0,0,1000
1758,太洋基礎工業,0,0,0,0,0,1000
1762,高松コンストラクショングループ,米,"権利確定月：3月
◎南魚沼産コシヒカリ（新米）
 ［継続保有期間5年未満］
 ・100株 … 5kg

［継続保有期間5年以上］
 ・100株 … 5kg
  ・500株 … 10kg ",3,0,0,100
1764,工藤建設,0,0,0,0,0,1000
1766,東建コーポレーション,米 etc,"権利確定月：4,10月
◎【4月の株主】次の（1）、（2）、（3）のいずれかを選択
 　（1）魚沼産コシヒカリ
　（2）ミネラルウォーター
　（3）カメ仕込み本格イモ焼酎「火水風」
 　
 　・1,000株 … （1）5kg　（2）500ml×48本　（3）5合（500ml）×4本
 　・2,000株 … （1）10kg　（2）500ml×96本　（3）5合（500ml）×8本
 　
◎【4月の株主】次の（1）、（2）のいずれかを選択
 　（1）東建多度カントリークラブ・名古屋、東建塩河カントリー倶楽部　株主プレー優待券
 　（2）オンラインショッピングサイト「ハートマークshop優待割引券」
 　
 　・10株 … （1）2枚（各カントリー・クラブ1枚ずつ）　（2）3,000円相当
 　・100株 … （1）4枚（各カントリー・クラブ1枚ずつ）　（2）4,000円相当
 　・1,000株 … （1）平日一年会員カード　（2）5,000円相当
 　・2,000株 … （1）平日一年会員カード　（2）6,000円相当
 　
◎【4月の株主】
 　・1,000株 … ホテル多度温泉　日曜・平日ペア無料ご宿泊券
 　※「クラブハウス本館」または「火水風別館」で利用可
 　
◎【10月の株主】次の（1）、（2）、（3）中から２つを選択
 　・10株 … （1）JAPANゴルフツアー開幕戦「東建ホームメイトカップ」のペア入場券
 　　　　　　　　　　（2）ホテル多度温泉　宿泊30％割引券
 　　　　　　　　　　（3）「ハートマークshop」の3,000円分優待割引券
 　
◎【随時適用される株主優待商品】住宅機器付与サービス
　・100株 … 本体工事請負金額の0.5％相当額
 　・1,000株 … 本体工事請負金額の1.0％相当額
 　・2,000株 … 本体工事請負金額の1.5％相当額
 　
◎【随時適用される株主優待商品】アパート・賃貸マンション仲介手数料割引サービス
　・100株 … 自社管理物件の割引率100％OFF（株主本人）、70％OFF（株主の家族）
 　　　　　　　　自社管理物件以外の割引率50％OFF（株主本人）、30％OFF（株主の家族）",4,10,6000,10
1768,ソネック,QUO,"権利確定月：9月
◎クオカード
　・100株 … 1,000円相当
 　・1,000株 … 2,000円相当",0,9,1000,100
1770,藤田エンジニアリング,0,0,0,0,0,100
1771,日本乾溜工業,QUO,"権利確定月：9月
◎クオカード
　・1,000株 … 3,000円相当
 　[3年以上保有]
　・1,000株 … 5,000円相当
　※単元株数は100株ですが、優待をもらうには1,000株以上保有する必要があります",0,9,3000,1000
1773,ワイ・ティー・エル・コーポレーション・バーハッド,0,0,0,0,0,1000
1775,富士古河E＆C,0,0,0,0,0,1000
1776,三井住建道路,0,0,0,0,0,1000
1777,川崎設備工業,0,0,0,0,0,1000
1780,ヤマウラ,地場商品,"権利確定月：9月
◎地場商品食品など複数の中から選択
 　・100株 … 3,000円相当
 　・300株 … 6,000円相当
 　・1,000株 … 9,000円相当",0,9,3000,100
1782,常磐開発,0,0,0,0,0,1000
1783,アジアゲートホールディングス,割引,"権利確定月：3,9月
◎特別料金の権利
 　・100株 … 自社グループゴルフ場及び会員優待提携しているゴルフ場、
                  並びにゴルフ場併設ホテルでの特別料金の権利
※ゴルフ場・ホテルともビジター料金より低料金での提供となり、
   メンバー料金より1000円～2000円アップの料金で提供。
※期間中何回でも利用可能。 ",3,9,0,100
1787,ナカボーテック,0,0,0,0,0,1000
1788,三東工業社,0,0,0,0,0,1000
1789,山加電業,QUO,"権利確定月：9月
◎クオカード
　・100株 … 1,000円相当",0,9,1000,100
1793,大本組,0,0,0,0,0,1000
1795,マサル,宝くじ,"権利確定月：3,9月
◎宝くじ
　・1000株 … サマージャンボ宝くじ10枚　（3月末の株主）
 　・3000株 … 年末ジャンボ宝くじ10枚　（9月末の株主）",3,9,3000,1000
1798,守谷商会,0,0,0,0,0,1000
1799,第一建設工業,0,0,0,0,0,100
1801,大成建設,仲介手数料割引,"権利確定月：３月
＜2018年3月以降の優待内容:株式併合後＞
◎以下の通り
（1）ゴルフ場ご優待クーポン券（軽井沢高原ゴルフ倶楽部）
（2）工事請負代金・仲介手数料等割引クーポン券
（3）簡易地震リスク診断券
　・100株 … （1）A券：2,000円相当、B券：2,000円相当　（2）30,000円相当
　・1,000株 … （1）A券：5,000円相当、B券：5,000円相当　（2）90,000円相当　（3）1枚 

　【継続保有期間3年以上】
　・100株 … （2）90,000円相当
　・1,000株 … （2）150,000円相当

※（1）ゴルフ場ご優待クーポン有効期限：
A券…当年8月1日から11月下旬まで。
B券…翌年4月上旬から7月31日まで。
※（1）ゴルフ場ご優待クーポン券の割引
【土日祝祭日】1枚につき、1人分のプレー代（1プレー）を値引き
【平日】1枚につき、1組（最大4名）全員分のプレー代（1プレー）を値引き
宿泊をしている場合は、1枚につき1組全員分のプレー代（2プレー）を値引き
※工事請負代金・仲介手数料等割引クーポン券は、工事請負代金によって、クーポン券の利用枚数の上限があります",3,0,12000,1000
1802,大林組,0,0,0,0,0,100
1803,清水建設,自社品,"権利確定月：3月
◎自社木製グッズ
　・1,000株 … 靴べら
　・5,000株 … マグネットものさし（2本）
 　・1万株 … 小物入れフック
※年によって商品が異なります",3,0,0,1000
1805,飛島建設,0,0,0,0,0,100
1807,佐藤渡辺,0,0,0,0,0,1000
1808,長谷工コーポレーション,0,0,0,0,0,100
1810,松井建設,0,0,0,0,0,100
1811,錢高組,0,0,0,0,0,1000
1812,鹿島建設,0,0,0,0,0,1000
1813,不動テトラ,0,0,0,0,0,100
1814,大末建設,0,0,0,0,0,100
1815,鉄建建設,0,0,0,0,0,1000
1820,西松建設,0,0,0,0,0,1000
1821,三井住友建設,0,0,0,0,0,100
1822,大豊建設,0,0,0,0,0,1000
1824,前田建設工業,0,0,0,0,0,1000
1826,佐田建設,0,0,0,0,0,100
1827,ナカノフドー建設,0,0,0,0,0,100
1828,田辺工業,QUO,"権利確定月：権利確定月：３、９月
◎QUOカード（クオカード）（×年2回） 　・100株 … 500円相当",3,9,1000,100
1832,北海電気工事,0,0,0,0,0,1000
1833,奥村組,0,0,0,0,0,1000
1835,東鉄工業,0,0,0,0,0,100
1840,土屋ホールディングス,0,0,0,0,0,100
1841,サンユー建設,0,0,0,0,0,100
1844,大盛工業,0,0,0,0,0,100
1846,鈴縫工業,0,0,0,0,0,1000
1847,イチケン,0,0,0,0,0,1000
1848,富士ピー・エス,QUO,"権利確定月：権利確定月：９月
◎QUOカード（クオカード）
　・100株 … 500円相当",0,9,500,100
1850,南海辰村建設,0,0,0,0,0,1000
1852,淺沼組,0,0,0,0,0,1000
1853,森組,0,0,0,0,0,1000
1860,戸田建設,0,"権利確定月：9月
◎ホテル&リゾート サンシャイン サザンセトの宿泊割引券
 　・1,000株 … 2枚
 　・5,000株 … 4枚
※割引率
 日曜～木曜日：正規宿泊料金より30％割引
 金曜・土曜・祝前日：正規宿泊料金より20％割引",0,9,0,1000
1861,熊谷組,0,0,0,0,0,1000
1865,青木あすなろ建設,米,"権利確定月：3月
◎銘柄米
 ［継続保有期間5年未満］ 
 　・500株 … 5kg

［継続保有期間5年以上］
 　・500株 … 5kg
　・2,000株  … 10kg
※2016年3月末を含む過去5年間、継続して保有する必要があります
※優待をもらうには500株以上保有する必要があります",3,0,0,500
1866,北野建設,0,0,0,0,0,1000
1867,植木組,QUO,"権利確定月：９月
＜2017年9月の優待内容:株式併合前＞ ◎ＱＵＯカード（クオカード） 【継続保有期間1年未満】 　・1,000株 … 1,000円相当 　・5,000株 … 2,000円相当  【継続保有期間1年以上】 　・1,000株 … 2,000円相当 　・5,000株 … 3,000円相当

＜2018年9月末の優待以降：株式併合後＞ ◎ＱＵＯカード 【継続保有期間1年未満】 　・100株 … 1,000円相当 　・500株 … 2,000円相当  【継続保有期間1年以上】 　・100株 … 2,000円相当 　・500株 … 3,000円相当",0,9,1000,1000
1868,三井ホーム,0,0,0,0,0,1000
1869,名工建設,0,0,0,0,0,100
1870,矢作建設工業,0,0,0,0,0,100
1871,ピーエス三菱,0,0,0,0,0,100
