SC,名称,株価,高値
1301,極洋,3335,3340
1332,日本水産,614,622
1333,マルハニチロ,3265,3295
1352,ホウスイ,125,127
1376,カネコ種苗,1506,1515
1377,サカタのタネ,3225,3225
1379,ホクト,1931,1941
1380,秋川牧園,601,601
1381,アクシーズ,3340,3370
1382,ホーブ,991,991
1383,ベルグアース,1395,1400
1384,ホクリヨウ,919,928
1400,ルーデン・ホールディングス,223,228
1401,エムビーエス,603,609
1407,ウエストホールディングス,738,738
1408,サムシングホールディングス,475,475
1413,桧家ホールディングス,2109,2153
1414,ショーボンドホールディングス,6270,6300
1417,ミライト・ホールディングス,1301,1303
1418,インターライフホールディングス,260,261
1419,タマホーム,715,717
1420,サンヨーホームズ,639,644
1429,日本アクア,461,466
1430,ファーストコーポレーション,1154,1172
1431,エスケーホーム,1160,1188
1433,ベステラ,1998,2019
1434,JESCOホールディングス,451,456
1435,インベスターズクラウド,6500,6630
1436,フィット,1258,1267
1438,岐阜造園,1390,1390
1439,安江工務店,1497,1512
1491,中外鉱業,32,33
1514,住石ホールディングス,113,115
1515,日鉄鉱業,8040,8050
1518,三井松島産業,1458,1460
1605,国際石油開発帝石,1091.5,1098.5
1606,日本海洋掘削,2058,2086
1662,石油資源開発,2142,2146
1663,K＆Oエナジーグループ,1810,1817
1711,省電舎ホールディングス,706,706
1712,ダイセキ環境ソリューション,1300,1305
1716,第一カッター興業,1183,1185
1717,明豊ファシリティワークス,363,366
1718,美樹工業,4360,4360
1719,安藤・間,749,755
1720,東急建設,879,881
1721,コムシスホールディングス,2533,2539
1722,ミサワホーム,933,937
1723,日本電技,2850,2850
1724,シンクレイヤ,473,481
1726,ビーアールホールディングス,403,404
1728,ミサワホーム中国,296,300
1730,麻生フオームクリート,363,363
1734,北弘電社,385,389
1736,オーテック,1456,1469
1737,三井金属エンジニアリング,1275,1293
1738,NITTOH,524,534
1739,シード平和,1685,1687
1743,コーアツ工業,2709,2725
1757,クレアホールディングス,28,29
1758,太洋基礎工業,1076,1076
1762,高松コンストラクショングループ,2988,2988
1764,工藤建設,247,250
1766,東建コーポレーション,13420,13640
1768,ソネック,853,858
1770,藤田エンジニアリング,698,703
1771,日本乾溜工業,503,507
1773,ワイ・ティー・エル・コーポレーション・バーハッド,37,37
1775,富士古河E＆C,371,373
1776,三井住建道路,300,300
1777,川崎設備工業,450,450
1780,ヤマウラ,1014,1018
1782,常磐開発,718,718
