コード,名称,市場,セクター,時価総額,発行株式数,株価,配当金,業種別PER,EPS,BPS
1301,極洋,東証一部,水産・農林,40435,10928283,3700,50.00,17.7,257.07,2396.51
1332,日本水産,東証一部,水産・農林,209328,312430277,670,8.00,17.7,64.21,400.67
1333,マルハニチロ,東証一部,水産・農林,183773,52656910,3490,40.00,17.7,256.49,1960.39
1352,ホウスイ,東証一部,卸売,10491,8379000,1252,20.00,14.4,51.35,698.62
1376,カネコ種苗,東証一部,水産・農林,20367,11772626,1730,26.00,17.7,123.50,1513.45
1377,サカタのタネ,東証一部,水産・農林,170406,48410750,3520,25.00,17.7,113.33,2142.13
1379,ホクト,東証一部,水産・農林,66918,33359040,2006,60.00,17.7,58.22,1528.41
1380,秋川牧園,JQS,水産・農林,2587,4179000,619,5.00,17.7,20.38,356.91
1381,アクシーズ,JQS,水産・農林,22021,5617500,3920,45.00,17.7,356.13,1928.79
1382,ホーブ,JQS,水産・農林,754,762000,990,0.00,17.7,61.69,603.63
1383,ベルグアース,JQS,水産・農林,1808,1269900,1424,10.00,17.7,-35.44,847.41
1384,ホクリヨウ,東証一部,水産・農林,9838,8459000,1163,15.00,17.7,0,985.15
1400,ルーデン・ホールディングス,JQG,建設,2932,10111300,290,0.00,12.9,2.39,170.60
1401,エムビーエス,東証マザ,建設,5063,7275000,696,0.00,12.9,29.83,223.63
1407,ウエストホールディングス,JQS,建設,20372,27235200,748,30.00,12.9,82.19,553.49
1408,サムシングホールディングス,JQG,建設,2115,4114200,514,0,12.9,1.46,280.61
1413,桧家ホールディングス,東証二部,建設,33897,13575000,2497,80.00,12.9,272.56,1154.71
1414,ショーボンドホールディングス,東証一部,建設,200310,28372590,7060,114.00,12.9,267.51,2572.72
1417,ミライト・ホールディングス,東証一部,建設,122608,85381866,1436,30.00,12.9,101.21,1602.85
1418,インターライフホールディングス,JQS,建設,6263,20010529,313,4.00,12.9,6.15,234.53
1419,タマホーム,東証一部,建設,22241,30055800,740,26.00,12.9,53.23,389.34
1420,サンヨーホームズ,東証一部,建設,10046,12620000,796,15.00,12.9,89.35,1214.78
1429,日本アクア,東証マザ,建設,18436,36220000,509,4.00,12.9,22.27,154.35
1430,ファーストコーポレーション,東証一部,建設,15893,13344040,1191,38.00,12.9,124.02,292.10
1431,エスケーホーム,福証QB,建設,2034,1263500,1610,18.75,12.9,158.29,993.80
1433,ベステラ,東証一部,建設,18059,8341200,2165,15.00,12.9,43.34,266.01
1434,JESCOホールディングス,東証二部,建設,2815,6340800,444,10.00,12.9,39.44,349.84
1435,インベスターズクラウド,東証一部,建設,110999,15811800,7020,40.00,12.9,230.87,453.89
1436,フィット,東証マザ,建設,5811,4282200,1357,26.00,12.9,177.26,962.12
1438,岐阜造園,名証二部,建設,1893,1451800,1304,35.00,12.9,149.31,1571.84
1439,安江工務店,JQS,建設,2119,1305380,1623,43.00,12.9,170.00,954.51
1491,中外鉱業,東証二部,非鉄金属,9272,289747982,32,0.00,23.2,1.45,24.45
1514,住石ホールディングス,東証一部,鉱業,9600,58892853,163,2.00,15.4,30.26,221.96
1515,日鉄鉱業,東証一部,鉱業,65315,8352319,7820,80.00,15.4,600.84,11966.81
1518,三井松島産業,東証一部,鉱業,19401,13064400,1485,40.00,15.4,91.85,2442.36
1605,国際石油開発帝石,東証一部,鉱業,1838141,1462323600,1257,18.00,15.4,35.61,2004.29
1606,日本海洋掘削,東証一部,鉱業,39024,18000000,2168,0.00,15.4,-477.34,1520.06
1662,石油資源開発,東証一部,鉱業,136771,57154776,2393,20.00,15.4,21.33,7683.23
1663,K＆Oエナジーグループ,東証一部,鉱業,57548,30336061,1897,28.00,15.4,76.68,2578.57
1711,省電舎ホールディングス,東証二部,建設,2229,2702173,825,0.00,12.9,19.24,277.18
1712,ダイセキ環境ソリューション,東証一部,建設,23962,16827120,1424,6.00,12.9,64.53,648.11
1716,第一カッター興業,東証二部,建設,9126,6000000,1521,12.00,12.9,147.76,1413.05
1717,明豊ファシリティワークス,JQS,建設,4842,12775900,379,13.00,12.9,35.99,229.28
1718,美樹工業,JQS,建設,5484,1153263,4755,100.00,12.9,868.90,10226.82
1719,安藤・間,東証一部,建設,173726,185209189,938,20.00,12.9,108.39,553.83
1720,東急建設,東証一部,建設,106761,106761205,1000,26.00,12.9,128.38,628.71
1721,コムシスホールディングス,東証一部,建設,416091,141000000,2951,50.00,12.9,183.27,1854.90
1722,ミサワホーム,東証一部,建設,42898,43070163,996,20.00,12.9,92.87,1016.07
1723,日本電技,JQS,建設,24256,8197500,2959,75.00,12.9,249.99,2216.47
1724,シンクレイヤ,JQS,建設,1924,4033780,477,6.00,12.9,58.26,379.02
1726,ビーアールホールディングス,東証一部,建設,17031,39700000,429,5.00,12.9,23.17,121.88
1728,ミサワホーム中国,JQS,建設,3508,11540180,304,5.00,12.9,23.46,535.81
1730,麻生フオームクリート,JQS,建設,1231,3420000,360,10.00,12.9,-9.96,415.67
1734,北弘電社,札証,建設,2542,650000,3910,0,12.9,427.82,8970.14
1736,オーテック,JQS,建設,8607,5700000,1510,48.00,12.9,186.67,2305.12
1737,三井金属エンジニアリング,東証二部,建設,16857,12780000,1319,52.00,12.9,116.66,963.20
1738,NITTOH,名証二部,建設,2595,4060360,639,15.00,12.9,71.55,726.85
1739,シード平和,JQG,建設,5874,3227200,1820,7.50,12.9,267.81,778.02
1743,コーアツ工業,東証二部,建設,2206,760000,2902,50.00,12.9,270.25,8285.86
1757,クレアホールディングス,東証二部,建設,2468,91412356,27,0.00,12.9,-4.84,20.93
1758,太洋基礎工業,JQS,建設,4414,4098000,1077,20.00,12.9,128.40,1826.69
1762,高松コンストラクショングループ,東証一部,建設,121306,38880000,3120,53.00,12.9,202.67,2679.31
1764,工藤建設,東証二部,建設,3182,13312200,239,5.00,12.9,16.35,271.48
1766,東建コーポレーション,東証一部,建設,181603,13472000,13480,180.00,12.9,1017.27,5794.32
1768,ソネック,東証一部,建設,6563,7500000,875,13.00,12.9,68.84,744.73
1770,藤田エンジニアリング,JQS,建設,8880,11700000,759,20.00,12.9,112.14,1091.04
1771,日本乾溜工業,福証,建設,2643,5102000,518,5.00,12.9,88.09,1071.58
1773,ワイ・ティー・エル・コーポレーション・バーハッド,東証一部,建設,0,0,33,0,12.9,0,-
1775,富士古河E＆C,東証二部,建設,17963,45132809,398,12.00,12.9,60.04,377.07
1776,三井住建道路,東証二部,建設,6587,18555000,355,6.00,12.9,44.40,480.80
1777,川崎設備工業,名証二部,建設,5880,12000000,490,7.00,12.9,85.25,561.30
1780,ヤマウラ,東証一部,建設,20449,21103514,969,5.00,12.9,44.93,655.61
1782,常磐開発,JQS,建設,5707,785000,7270,24.00,12.9,1402.39,8738.60
1783,アジアゲートホールディングス,JQS,建設,4940,57442851,86,0.00,12.9,2.05,132.34
1787,ナカボーテック,JQS,建設,7802,5205000,1499,55.00,12.9,108.47,1295.66
1788,三東工業社,JQS,建設,1461,6860000,213,4.00,12.9,11.67,377.21
1789,山加電業,JQS,建設,3959,6375284,621,5.00,12.9,31.40,315.16
1793,大本組,JQS,建設,31165,6340880,4915,90.00,12.9,419.78,11354.85
1795,マサル,JQS,建設,2451,4505757,544,10.00,12.9,43.41,767.29
1798,守谷商会,JQS,建設,4633,2260000,2050,60.00,12.9,296.79,3578.10
1799,第一建設工業,JQS,建設,31121,20858491,1492,26.00,12.9,148.15,2583.30
